topic,month_start,negative,neutral,positive,total_count,positive_ratio,negative_ratio,neutral_ratio,sentiment_score,score_diff,negative_ratio_diff,rolling_score_mean,rolling_volume_mean,rolling_score_diff,is_drift,drift_type
arsenal,2026-03-01,119,65,14,198,0.070707071,0.601010101,0.328282828,-0.53030303,,,,,,FALSE,normal
arsenal,2026-04-01,340,211,151,702,0.215099715,0.484330484,0.300569801,-0.269230769,0.261072261,-0.116679617,,,,TRUE,score_drift
arsenal,2026-05-01,70,152,609,831,0.732851986,0.08423586,0.182912154,0.648616125,0.917846894,-0.400094624,-0.3997669,450,1.048383025,TRUE,"score_drift, rolling_baseline_drift, volume_spike"
iphone17series,2025-09-01,359,583,280,1222,0.22913257,0.293780687,0.477086743,-0.064648118,,,,,,FALSE,normal
iphone17series,2025-10-01,81,158,79,318,0.248427673,0.254716981,0.496855346,-0.006289308,0.05835881,-0.039063706,,,,FALSE,normal
iphone17series,2025-11-01,57,74,38,169,0.224852071,0.337278107,0.437869822,-0.112426036,-0.106136727,0.082561125,-0.035468713,770,-0.076957322,FALSE,normal
iphone17series,2025-12-01,11,21,10,42,0.238095238,0.261904762,0.5,-0.023809524,0.088616512,-0.075373345,-0.061121154,569.6666667,0.03731163,FALSE,normal
iphone17series,2026-01-01,7,17,12,36,0.333333333,0.194444444,0.472222222,0.138888889,0.162698413,-0.067460317,-0.047508289,176.3333333,0.186397178,FALSE,normal
iphone17series,2026-02-01,14,17,10,41,0.243902439,0.341463415,0.414634146,-0.097560976,-0.236449864,0.14701897,0.000884443,82.33333333,-0.098445419,FALSE,normal
iphone17series,2026-03-01,39,49,24,112,0.214285714,0.348214286,0.4375,-0.133928571,-0.036367596,0.006750871,0.005839463,39.66666667,-0.139768035,TRUE,volume_spike
iphone17series,2026-04-01,33,55,39,127,0.307086614,0.25984252,0.433070866,0.047244094,0.181172666,-0.088371766,-0.030866886,63,0.078110981,TRUE,volume_spike
iphone17series,2026-05-01,12,21,23,56,0.410714286,0.214285714,0.375,0.196428571,0.149184477,-0.045556805,-0.061415151,93.33333333,0.257843722,TRUE,rolling_baseline_drift
