topic,week_start,negative,neutral,positive,total_count,positive_ratio,negative_ratio,neutral_ratio,sentiment_score,score_diff,negative_ratio_diff,rolling_score_mean,rolling_volume_mean,rolling_score_diff,is_drift,drift_type
arsenal,2026-03-23,119,65,14,198,0.070707071,0.601010101,0.328282828,-0.53030303,,,,,,FALSE,normal
arsenal,2026-03-30,1,0,0,1,0,1,0,-1,-0.46969697,0.398989899,,,,FALSE,not_enough_volume
arsenal,2026-04-06,43,19,7,69,0.101449275,0.623188406,0.275362319,-0.52173913,0.47826087,-0.376811594,-0.765151515,99.5,0.243412385,TRUE,"score_drift, rolling_baseline_drift"
arsenal,2026-04-13,2,5,2,9,0.222222222,0.222222222,0.555555556,0,0.52173913,-0.400966184,-0.684014054,89.33333333,0.684014054,FALSE,not_enough_volume
arsenal,2026-04-20,294,184,142,620,0.229032258,0.474193548,0.296774194,-0.24516129,-0.24516129,0.251971326,-0.507246377,26.33333333,0.262085086,TRUE,"negative_burst, rolling_baseline_drift, volume_spike"
arsenal,2026-04-27,2,3,0,5,0,0.4,0.6,-0.4,-0.15483871,-0.074193548,-0.255633474,232.6666667,-0.144366526,FALSE,not_enough_volume
arsenal,2026-05-04,1,1,2,4,0.5,0.25,0.25,0.25,0.65,-0.15,-0.215053763,211.3333333,0.465053763,FALSE,not_enough_volume
arsenal,2026-05-11,0,1,0,1,0,0,1,0,-0.25,-0.25,-0.13172043,209.6666667,0.13172043,FALSE,not_enough_volume
arsenal,2026-05-18,67,150,607,824,0.736650485,0.08131068,0.182038835,0.655339806,0.655339806,0.08131068,-0.05,3.333333333,0.705339806,TRUE,"score_drift, rolling_baseline_drift, volume_spike"
iphone17series,2025-09-08,170,168,105,443,0.237020316,0.383747178,0.379232506,-0.146726862,,,,,,FALSE,normal
iphone17series,2025-09-15,91,253,106,450,0.235555556,0.202222222,0.562222222,0.033333333,0.180060196,-0.181524956,,,,FALSE,normal
iphone17series,2025-09-22,57,134,56,247,0.226720648,0.230769231,0.542510121,-0.004048583,-0.037381916,0.028547009,-0.056696764,446.5,0.052648181,FALSE,normal
iphone17series,2025-09-29,45,34,21,100,0.21,0.45,0.34,-0.24,-0.235951417,0.219230769,-0.039147371,380,-0.200852629,TRUE,"negative_burst, rolling_baseline_drift"
iphone17series,2025-10-06,24,49,24,97,0.24742268,0.24742268,0.505154639,0,0.24,-0.20257732,-0.070238417,265.6666667,0.070238417,FALSE,normal
iphone17series,2025-10-13,22,51,32,105,0.304761905,0.20952381,0.485714286,0.095238095,0.095238095,-0.037898871,-0.081349528,148,0.176587623,FALSE,normal
iphone17series,2025-10-20,1,5,4,10,0.4,0.1,0.5,0.3,0.204761905,-0.10952381,-0.048253968,100.6666667,0.348253968,FALSE,not_enough_volume
iphone17series,2025-10-27,38,52,13,103,0.126213592,0.368932039,0.504854369,-0.242718447,-0.542718447,0.268932039,0.131746032,70.66666667,-0.374464478,TRUE,"score_drift, negative_burst, rolling_baseline_drift"
iphone17series,2025-11-03,7,13,4,24,0.166666667,0.291666667,0.541666667,-0.125,0.117718447,-0.077265372,0.050839883,72.66666667,-0.175839883,FALSE,not_enough_volume
iphone17series,2025-11-10,27,38,19,84,0.226190476,0.321428571,0.452380952,-0.095238095,0.029761905,0.029761905,-0.022572816,45.66666667,-0.07266528,TRUE,volume_spike
iphone17series,2025-11-17,10,12,6,28,0.214285714,0.357142857,0.428571429,-0.142857143,-0.047619048,0.035714286,-0.154318847,70.33333333,0.011461704,FALSE,not_enough_volume
iphone17series,2025-11-24,5,6,7,18,0.388888889,0.277777778,0.333333333,0.111111111,0.253968254,-0.079365079,-0.121031746,45.33333333,0.232142857,FALSE,not_enough_volume
iphone17series,2025-12-01,1,7,1,9,0.111111111,0.111111111,0.777777778,0,-0.111111111,-0.166666667,-0.042328042,43.33333333,0.042328042,FALSE,not_enough_volume
iphone17series,2025-12-08,4,7,3,14,0.214285714,0.285714286,0.5,-0.071428571,-0.071428571,0.174603175,-0.010582011,18.33333333,-0.060846561,FALSE,not_enough_volume
iphone17series,2025-12-15,1,1,1,3,0.333333333,0.333333333,0.333333333,0,0.071428571,0.047619048,0.013227513,13.66666667,-0.013227513,FALSE,not_enough_volume
iphone17series,2025-12-22,1,4,4,9,0.444444444,0.111111111,0.444444444,0.333333333,0.333333333,-0.222222222,-0.023809524,8.666666667,0.357142857,FALSE,not_enough_volume
iphone17series,2025-12-29,5,3,2,10,0.2,0.5,0.3,-0.3,-0.633333333,0.388888889,0.087301587,8.666666667,-0.387301587,FALSE,not_enough_volume
iphone17series,2026-01-05,4,6,7,17,0.411764706,0.235294118,0.352941176,0.176470588,0.476470588,-0.264705882,0.011111111,7.333333333,0.165359477,FALSE,not_enough_volume
iphone17series,2026-01-12,1,5,3,9,0.333333333,0.111111111,0.555555556,0.222222222,0.045751634,-0.124183007,0.069934641,12,0.152287582,FALSE,not_enough_volume
